IPA,조음상하위치,조음좌우위치,입술모양
i,High,Front,None
ɯ,High,Back,Unrounded
u,High,Back,Rounded
ɛ,Mid,Front,None
ʌ,Mid,Back,Unrounded
o,Mid,Back,Rounded
a,Low,Back,Unrounded
ju,High+High,Front+Back,Rounded
jʌ,High+Mid,Front+Back,Unrounded
jo,High+Mid,Front+Back,Rounded
jɛ,High+Mid,Front+Back,None
ja,High+Low,Front+Back,Unrounded
wi,High+High,Back+Front,Rounded+None
wʌ,High+Mid,Back+Back,Rounded+Unrounded
wɛ,High+Mid+Mid,Back+Front,Rounded+None
wa,Mid+Low,Back+Back,Rounded+Unrounded
ɰi,High+High,Back+Front,Unrounded+None
