IPA,조음상하위치,조음좌우위치,입술모양
i,High,Front,Unrounded
ɯ,High,Back,Unrounded
u,High,Back,Rounded
ɛ,Mid,Front,Unrounded
ʌ,Mid,Back,Unrounded
o,Mid,Back,Rounded
ɑ,Low,Back,Unrounded
a,Low,Back,Unrounded
ju,High,Front+Back,Rounded
jʌ,High+Mid,Front+Back,Unrounded
jo,High+Mid,Front+Back,Rounded
jɛ,High+Mid,Front+Back,Unrounded
ja,High+Low,Front+Back,Unrounded
wi,High,Back+Front,Rounded+Unrounded
wʌ,High+Mid,Back,Rounded+Unrounded
wɛ,High+Mid,Back+Front,Rounded+Unrounded
wa,Mid+Low,Back,Rounded+Unrounded
ɰi,High,Back+Front,Unrounded+Rounded
ə,Mid,Mid,Unrounded
ɔ,Mid+Low,Back,Rounded
ɪ,NearHigh,NearFront,Unrounded
ʊ,NearHigh,NearBack,Rounded
æ,NearLow,NearFront,Unrounded
